DESCRIPTION: LINE 2 IS THE HEADER; LINE 3 IS START_DATE; THE FOLLOWING LINES: FEES LIST; THE COLUMNS ARE SEPARATED BY TAB
MBS	MBS Fee (Jan 2015)	AHSA $ Benefit	AHSA % Benefit
20440	$79.20	$141.60	
20450	$99.00	$177.00	
20452	$118.80	$212.40	
20470	$118.80	$212.40	
20472	$198.00	$354.00	
20474	$257.40	$460.20	
20475	$198.00	$354.00	
20500	$297.00	$531.00	
20520	$118.80	$212.40	
20522	$79.20	$141.60	
20524	$79.20	$141.60	
20526	$198.00	$354.00	
20528	$158.40	$283.20	
20540	$257.40	$460.20	
20542	$297.00	$531.00	
20546	$297.00	$531.00	
20548	$297.00	$531.00	
20560	$396.00	$708.00	
20600	$198.00	$354.00	
20604	$257.40	$460.20	
20620	$198.00	$354.00	
20622	$257.40	$460.20	
20630	$158.40	$283.20	
20632	$138.60	$247.80	
20634	$198.00	$354.00	
20670	$257.40	$460.20	
20680	$59.40	$106.20	
20690	$99.00	$177.00	
20700	$59.40	$106.20	
20702	$79.20	$141.60	
20703	$79.20	$141.60	
20704	$198.00	$354.00	
20705	$118.80	$212.40	
20706	$138.60	$247.80	
20730	$99.00	$177.00	
20740	$99.00	$177.00	
20745	$118.80	$212.40	
20750	$79.20	$141.60	
20752	$118.80	$212.40	
20754	$138.60	$247.80	
20756	$178.20	$318.60	
20770	$297.00	$531.00	
20790	$158.40	$283.20	
20791	$198.00	$354.00	
20792	$257.40	$460.20	
20793	$297.00	$531.00	
20794	$237.60	$424.80	
20798	$198.00	$354.00	
20799	$118.80	$212.40	
20800	$59.40	$106.20	
20802	$99.00	$177.00	
20803	$79.20	$141.60	
20804	$198.00	$354.00	
20805	$118.80	$212.40	
20806	$138.60	$247.80	
20810	$79.20	$141.60	
20815	$118.80	$212.40	
20820	$99.00	$177.00	
20830	$79.20	$141.60	
20832	$118.80	$212.40	
20840	$118.80	$212.40	
20841	$158.40	$283.20	
20842	$79.20	$141.60	
20844	$198.00	$354.00	
20845	$198.00	$354.00	
20846	$198.00	$354.00	
20847	$198.00	$354.00	
20848	$198.00	$354.00	
20850	$237.60	$424.80	
20855	$297.00	$531.00	
20860	$118.80	$212.40	
20862	$138.60	$247.80	
20863	$198.00	$354.00	
20864	$198.00	$354.00	
20866	$198.00	$354.00	
20867	$198.00	$354.00	
20868	$198.00	$354.00	
20880	$297.00	$531.00	
20882	$198.00	$354.00	
20884	$99.00	$177.00	
20886	$118.80	$212.40	
20900	$59.40	$106.20	
20902	$79.20	$141.60	
20904	$138.60	$247.80	
20905	$198.00	$354.00	
20906	$79.20	$141.60	
20910	$79.20	$141.60	
20911	$99.00	$177.00	
20912	$99.00	$177.00	
20914	$138.60	$247.80	
20916	$138.60	$247.80	
20920	$79.20	$141.60	
20924	$79.20	$141.60	
20926	$79.20	$141.60	
20928	$118.80	$212.40	
20930	$79.20	$141.60	
20932	$79.20	$141.60	
20934	$118.80	$212.40	
20936	$158.40	$283.20	
20938	$79.20	$141.60	
20940	$79.20	$141.60	
20942	$99.00	$177.00	
20943	$79.20	$141.60	
20944	$118.80	$212.40	
20946	$158.40	$283.20	
20948	$79.20	$141.60	
20950	$99.00	$177.00	
20952	$79.20	$141.60	
20953	$99.00	$177.00	
20954	$198.00	$354.00	
20956	$79.20	$141.60	
20958	$99.00	$177.00	
20960	$138.60	$247.80	
21100	$59.40	$106.20	
21110	$99.00	$177.00	
21112	$79.20	$141.60	
21114	$99.00	$177.00	
21116	$118.80	$212.40	
21120	$118.80	$212.40	
21130	$59.40	$106.20	
21140	$297.00	$531.00	
21150	$198.00	$354.00	
21155	$198.00	$354.00	
21160	$79.20	$141.60	
21170	$158.40	$283.20	
21195	$59.40	$106.20	
21199	$79.20	$141.60	
21200	$79.20	$141.60	
21202	$79.20	$141.60	
21210	$118.80	$212.40	
21212	$198.00	$354.00	
21214	$198.00	$354.00	
21216	$277.20	$495.60	
21220	$79.20	$141.60	
21230	$118.80	$212.40	
21232	$99.00	$177.00	
21234	$158.40	$283.20	
21260	$79.20	$141.60	
21270	$158.40	$283.20	
21272	$79.20	$141.60	
21274	$118.80	$212.40	
21275	$198.00	$354.00	
21280	$297.00	$531.00	
21300	$59.40	$106.20	
21321	$79.20	$141.60	
21340	$79.20	$141.60	
21360	$99.00	$177.00	
21380	$59.40	$106.20	
21382	$79.20	$141.60	
21390	$59.40	$106.20	
21392	$79.20	$141.60	
21400	$79.20	$141.60	
21402	$138.60	$247.80	
21403	$198.00	$354.00	
21404	$99.00	$177.00	
21420	$59.40	$106.20	
21430	$79.20	$141.60	
21432	$99.00	$177.00	
21440	$158.40	$283.20	
21445	$198.00	$354.00	
21460	$59.40	$106.20	
21461	$79.20	$141.60	
21462	$59.40	$106.20	
21464	$79.20	$141.60	
21472	$99.00	$177.00	
21474	$99.00	$177.00	
21480	$79.20	$141.60	
21482	$99.00	$177.00	
21484	$99.00	$177.00	
21486	$138.60	$247.80	
21490	$59.40	$106.20	
21500	$158.40	$283.20	
21502	$118.80	$212.40	
21520	$79.20	$141.60	
21522	$99.00	$177.00	
21530	$297.00	$531.00	
21532	$158.40	$283.20	
21535	$198.00	$354.00	
21600	$59.40	$106.20	
21610	$99.00	$177.00	
21620	$79.20	$141.60	
21622	$99.00	$177.00	
21630	$99.00	$177.00	
21632	$118.80	$212.40	
21634	$178.20	$318.60	
21636	$297.00	$531.00	
21638	$198.00	$354.00	
21650	$158.40	$283.20	
21652	$198.00	$354.00	
21654	$158.40	$283.20	
21656	$198.00	$354.00	
21670	$79.20	$141.60	
21680	$59.40	$106.20	
21682	$79.20	$141.60	
21685	$198.00	$354.00	
21700	$59.40	$106.20	
21710	$79.20	$141.60	
21712	$99.00	$177.00	
21714	$99.00	$177.00	
21716	$99.00	$177.00	
21730	$59.40	$106.20	
21732	$79.20	$141.60	
21740	$99.00	$177.00	
21756	$118.80	$212.40	
21760	$138.60	$247.80	
21770	$158.40	$283.20	
21772	$118.80	$212.40	
21780	$79.20	$141.60	
21785	$198.00	$354.00	
21790	$297.00	$531.00	
21800	$59.40	$106.20	
21810	$79.20	$141.60	
21820	$59.40	$106.20	
21830	$79.20	$141.60	
21832	$138.60	$247.80	
21834	$79.20	$141.60	
21840	$158.40	$283.20	
21842	$118.80	$212.40	
21850	$79.20	$141.60	
21860	$59.40	$106.20	
21865	$198.00	$354.00	
21870	$297.00	$531.00	
21872	$158.40	$283.20	
21878	$59.40	$106.20	
21879	$99.00	$177.00	
21880	$138.60	$247.80	
21881	$178.20	$318.60	
21882	$217.80	$389.40	
21883	$257.40	$460.20	
21884	$297.00	$531.00	
21885	$336.60	$601.80	
21886	$376.20	$672.60	
21887	$415.80	$743.40	
21900	$59.40	$106.20	
21906	$99.00	$177.00	
21908	$118.80	$212.40	
21910	$178.20	$318.60	
21912	$99.00	$177.00	
21914	$118.80	$212.40	
21915	$99.00	$177.00	
21916	$99.00	$177.00	
21918	$99.00	$177.00	
21922	$138.60	$247.80	
21925	$79.20	$141.60	
21926	$99.00	$177.00	
21927	$99.00	$177.00	
21930	$118.80	$212.40	
21935	$99.00	$177.00	
21936	$118.80	$212.40	
21939	$59.40	$106.20	
21941	$138.60	$247.80	
21942	$198.00	$354.00	
21943	$99.00	$177.00	
21945	$99.00	$177.00	
21949	$99.00	$177.00	
21952	$198.00	$354.00	
21955	$99.00	$177.00	
21959	$99.00	$177.00	
21962	$99.00	$177.00	
21965	$99.00	$177.00	
21969	$158.40	$283.20	
21970	$297.00	$531.00	
21973	$99.00	$177.00	
21976	$99.00	$177.00	
21980	$99.00	$177.00	
21981	$79.20	$141.60	
21990	$59.40	$106.20	
21992	$79.20	$141.60	
21997	$79.20	$141.60	
22001	$59.40	$106.20	
22002	$79.20	$141.60	
22007	$79.20	$141.60	
22008	$79.20	$141.60	
22012	$59.40	$106.20	
22014	$59.40	$106.20	
22015	$118.80	$212.40	
22018	$138.60	$247.80	
22020	$79.20	$141.60	
22025	$79.20	$141.60	
22031	$99.00	$177.00	
22036	$59.40	$106.20	
22040	$39.60	$70.80	
22045	$59.40	$106.20	
22050	$39.60	$70.80	
22051	$178.20	$318.60	
22055	$237.60	$424.80	
22060	$396.00	$708.00	
22065	$99.00	$177.00	
22070	$198.00	$354.00	
22075	$297.00	$531.00	
22900	$118.80	$212.40	
22905	$118.80	$212.40	
23010	$19.80	$35.40	
23021	$39.60	$70.80	
23022	$39.60	$70.80	
23023	$39.60	$70.80	
23031	$59.40	$106.20	
23032	$59.40	$106.20	
23033	$59.40	$106.20	
23041	$79.20	$141.60	
23042	$79.20	$141.60	
23043	$79.20	$141.60	
23051	$99.00	$177.00	
23052	$99.00	$177.00	
23053	$99.00	$177.00	
23061	$118.80	$212.40	
23062	$118.80	$212.40	
23063	$118.80	$212.40	
23071	$138.60	$247.80	
23072	$138.60	$247.80	
23073	$138.60	$247.80	
23081	$158.40	$283.20	
23082	$158.40	$283.20	
23083	$158.40	$283.20	
23091	$178.20	$318.60	
23101	$198.00	$354.00	
23111	$217.80	$389.40	
23112	$237.60	$424.80	
23113	$257.40	$460.20	
23114	$277.20	$495.60	
23115	$297.00	$531.00	
23116	$316.80	$566.40	
23117	$336.60	$601.80	
23118	$356.40	$637.20	
23119	$376.20	$672.60	
23121	$396.00	$708.00	
23170	$415.80	$743.40	
23180	$435.60	$778.80	
23190	$455.40	$814.20	
23200	$475.20	$849.60	
23210	$495.00	$885.00	
23220	$514.80	$920.40	
23230	$534.60	$955.80	
23240	$554.40	$991.20	
23250	$574.20	$1,026.60	
23260	$594.00	$1,062.00	
23270	$613.80	$1,097.40	
23280	$633.60	$1,132.80	
23290	$653.40	$1,168.20	
23300	$673.20	$1,203.60	
23310	$693.00	$1,239.00	
